movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20241510,올파의 딸들,Four Daughters,2023,20250402,장편,개봉예정,프랑스,다큐멘터리,프랑스,다큐멘터리
20203863,승부,The Match,2025,20250326,장편,개봉예정,한국,드라마,한국,드라마
20234689,괜찮아 괜찮아 괜찮아! ,IT′S OKAY!,2023,20250226,장편,개봉,한국,"가족,코미디,드라마",한국,가족
20249251,콘클라베,Conclave,2024,20250305,장편,개봉,미국,"드라마,스릴러",미국,드라마
20249564,노보케인,Novocaine,2025,20250312,장편,개봉예정,미국,"액션,코미디",미국,액션
20253101,극장판 진격의 거인 완결편 더 라스트 어택,Attack on Titan The Movie : THE LAST ATTACK,2024,20250313,장편,개봉예정,일본,애니메이션,일본,애니메이션
20248505,장난을 잘 치는 타카기 양,Teasing Master Takagi-san,2024,20250305,장편,개봉,일본,"멜로/로맨스,코미디",일본,멜로/로맨스
20252551,화이트 버드,White Bird,2023,20250312,장편,개봉예정,미국,드라마,미국,드라마
20236573,침범,SOMEBODY,2024,20250312,장편,개봉예정,한국,"미스터리,스릴러",한국,미스터리
20232394,야당,YADANG: THE SNITCH ,2024,20250423,장편,개봉예정,한국,"범죄,액션",한국,범죄
20236234,프랑켄슈타인 아버지,Frankenstein Father,2023,20250402,장편,개봉예정,한국,드라마,한국,드라마
20253234,크래쉬: 디렉터스컷,Crash,1996,20250326,장편,개봉예정,캐나다,"범죄,드라마",캐나다,범죄
20245000,핑크퐁과 호기: 새 친구 니니모 1부,Pinkfong and Hogi: New Friend Ninimo,2024,20250308,장편,개봉,한국,애니메이션,한국,애니메이션
20253106,핑크퐁 공룡 유치원,,2023,20250308,장편,개봉,한국,애니메이션,한국,애니메이션
20252740,젖 잘 주는 식당이모 무삭제판,,2023,20250307,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로)
20234874,커플지옥,Couples to Hell,2023,20250313,장편,개봉예정,한국,"공포(호러),멜로/로맨스,드라마",한국,공포(호러)
20252023,"초혼, 다시 부르는 노래",The First Soul : Song Written Again,2024,20250319,장편,개봉예정,한국,드라마,한국,드라마
20252507,준스톤 이어원,Junstone Year One,2025,20250306,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20251752,레드브릿지-나쁜 녀석들,,2022,20250306,장편,개봉,일본,"액션,드라마",일본,액션
20251754,괴담-도시전설,Sha-re Kowa:Urban Legends,2021,20250306,장편,개봉,일본,공포(호러),일본,공포(호러)
20235544,출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,Combat Wombat,2020,20250412,장편,개봉예정,호주,"애니메이션,액션,어드벤처",호주,애니메이션
20253086,언젠틀 오퍼레이션,The Ministry of Ungentlemanly Warfare,2024,20250319,장편,개봉예정,영국,"액션,코미디",영국,액션
20216726,스트리밍,Streaming,2021,20250321,장편,개봉예정,한국,스릴러,한국,스릴러
20234618,화성특급,Mars Express,2023,20250320,장편,개봉예정,프랑스,애니메이션,프랑스,애니메이션
20232130,숨,Breath,2023,20250312,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20253235,열화청춘 리마스터링,Nomad(4K Restored Director’s Cut),1982,20250331,장편,개봉예정,홍콩,"드라마,멜로/로맨스",홍콩,드라마
20244317,고독한 미식가 더 무비,The Solitary Gourmet,2025,20250319,장편,개봉예정,일본,드라마,일본,드라마
20252362,카라바조. 영혼과 피,Caravaggio. The Soul and the Blood,2018,20250219,장편,개봉,이탈리아,다큐멘터리,이탈리아,다큐멘터리
20244681,리얼 페인,A REAL PAIN,2024,20250115,장편,개봉,미국,"드라마,코미디",미국,드라마
